evaluation_date,vol_amount_26,total_balance,avg_amount_26,avg_amount_12,avg_week_amount_14,weighted_avg_day_26,avg_week_amount_20,vol_amount_13
738632,0.0,84.61,0.0,-559.8614285714285,-4807.969999999999,0.0,-189.86499999999998,-0.3382354799035235
738553,0.0,130.39,0.0,-22.330000000000002,-1795.6499999999999,0.0,0.0,0.0
738705,-0.8300428342409089,-26.09,-71.60833333333333,-466.59666666666664,-981.29,1.459734667752823,-1551.21,-0.6799185573943131
738727,0.0,10.55,0.0,-1188.612857142857,-1102.51,0.0,-121.395,0.0
738718,0.0,0.79,0.0,-205.985,-1061.26,0.0,-67.93,0.0
738505,-0.4432492610342486,758.81,-48.0,-799.3028571428571,-365.22,2.75,-86.74000000000001,-0.32407290766678787
738677,-0.12121830534626528,-19.99,-35.0,-581.7900000000001,-2100.55,5.699999999999999,-142.56000000000003,-0.0
738637,0.0,2.95,0.0,-277.0775,-3557.86,0.0,-449.22,-0.6075866508777414
738488,-0.738223892243356,270.83,-391.7483333333333,-142.86,-5198.19,1.3625860990687038,-418.08,-0.0
738476,0.0,-2.34,0.0,-80.485,-1202.9850000000001,0.0,-19.92,0.0
738633,0.0,3.58,0.0,670.568,-3637.155,0.0,-14.985,0.0
738622,0.0,1925.85,0.0,-49.22,-1537.165,0.0,-12.0,0.0
738469,0.0,658.94,0.0,-792.9466666666667,-621.0600000000001,0.0,-231.965,-0.0
738532,0.0,45.86,0.0,-240.83333333333334,-1989.71,0.0,-479.025,0.0
738665,0.0,74.22,0.0,-402.49000000000007,-794.5999999999999,0.0,-54.99,0.0
738455,0.0,266.45,0.0,-71.37,-2799.68,0.0,-299.56,0.0
738646,-1.0891964928316462,62.11,-434.0683333333333,-1211.1028571428571,-3277.74,5.501121175237387,-453.23,-0.39487884312948424
738611,0.0,181.21,0.0,-201.75799999999998,-1793.33,0.0,-36.94,0.0
738456,-0.8132123470040585,-48.51,-152.85,-646.9583333333334,-1876.245,8.518645731108933,-168.31,-0.15318543069543802
738505,-0.8198633807718654,-177.46,-195.39,-192.638,-1973.99,2.705158912943343,-34.71,-0.0992194987395044
738538,0.0,72.74,0.0,-235.98799999999997,-2263.13,0.0,-297.895,-0.0016579291469789412
738456,0.0,210.07,0.0,-1104.4416666666666,-1358.31,0.0,-112.33000000000001,-0.8168243181872243
738584,-0.49545023227712565,78.77,-135.32500000000002,-1209.6266666666668,-3176.82,6.417421023462033,-891.38,-0.019215710899131495
738456,0.0,1174.66,0.0,-227.615,-1385.64,0.0,-109.855,-1.878810797665339
738695,0.0,-29.97,0.0,-1137.2071428571428,-1454.24,0.0,-587.1700000000001,-0.0
738567,-0.458697950311182,90.37,-121.27,-504.5416666666667,-849.1,2.764368763915229,-386.54499999999996,-0.27098484908414855
738619,-0.38569460791993504,20.52,-55.0,0.0,-570.77,2.172727272727272,-142.57,0.0
738546,-0.0,766.45,-34.95,-98.862,-1318.155,11.5,-1016.63,0.0
738571,0.0,24.31,0.0,0.0,-7812.96,0.0,-184.94,4.789841748143642
738503,-0.0,535.89,-200.0,-426.456,-3412.55,14.5,-38.96,-1.0078512161629805
738679,-0.8598986987293693,105.24,-99.5,-372.3500000000001,-1201.38,1.324120603015075,-745.44,0.0
738489,0.0,0.02,0.0,0.0,-680.35,0.0,-85.14,-0.0
738554,-0.4856904587178783,115.0,-49.73,0.0,-367.5,12.746497754541192,-82.74,-0.4462437913132805
738587,-0.3089977539774819,1.87,-45.5,-429.0128571428572,-1361.2,1.3131868131868139,-107.455,-0.5405763498355727
738457,-1.2554231308372643,1135.05,-97.9175,-442.895,-2562.58,0.11779048688947391,-1060.935,-0.24047468759794619
738611,0.0,58.98,0.0,-41.99,-433.505,0.0,-21.5,0.0
738479,0.0,216.78,0.0,-477.52714285714285,-1644.83,0.0,-445.88,0.0
738568,-0.42349297880856623,214.99,-389.885,-109.20285714285714,-1642.12,8.08713894267968,-242.59,0.0
738672,0.0,33.76,0.0,-297.5316666666667,-3484.005,0.0,-118.76,-0.9175343506603023
738554,0.0,27.46,0.0,-1380.32,-885.66,0.0,-369.04,0.0
738724,0.0,84.44,0.0,-153.028,-3609.7350000000006,0.0,-302.08,-1.0042377037413708
738605,0.0,-60.79,0.0,0.0,-631.06,0.0,-252.1,0.0
738515,0.0,2.2,0.0,-430.9633333333333,-1164.28,0.0,-200.15,-0.663228291240903
738482,-0.7071067811865476,2152.4,-100.0,-333.13142857142856,-971.005,1.5,-132.69,0.0
738502,0.0,-20.03,0.0,-686.902,-667.23,0.0,-170.32999999999998,-0.0
738522,0.0,-27.8,0.0,-30.0,-279.35,0.0,-129.04000000000002,0.0
738506,0.0,6.78,0.0,-10.0,-247.76,0.0,-82.0,0.0
738658,-0.5551965384705763,6.39,-142.1,-116.41399999999999,-14977.39,7.1124700914848695,-114.62,-0.7740769027742226
738703,0.0,1883.75,0.0,15.910000000000025,-2798.28,0.0,-26936.5,0.0
738546,0.0,-18.83,0.0,-499.03600000000006,-1663.02,0.0,-112.84,-0.8176254698099099
738633,0.0,44.46,0.0,-801.7600000000001,-1694.0,0.0,-88.88,-0.0
738581,-0.5555769144512231,486.79,-91.8,-1905.7616666666665,-3163.115,0.3170370370370357,-136.475,-1.1564045294932934
738510,0.0,2.76,0.0,-336.39,-807.8299999999999,0.0,-142.07,0.0
738496,0.0,2.86,0.0,-127.89999999999999,-640.03,0.0,-74.82,0.0
738715,-0.3069499703716244,2101.85,-88.5975,-369.1257142857143,-6093.335,4.258204238268576,-417.16999999999996,-0.39782863334263163
738454,-1.185308510328568,0.29,-185.345,-2145.23,-1956.38,7.233955596320374,-2782.82,-0.546547458102678
738488,0.0,-249.98,0.0,-165.81,-901.45,0.0,-24.885,0.0
